index,ML_position,calcium_response
0,0,1.8947750222395265
1,0,1.3182235714126311
2,0,0.7829351258408765
3,0,1.531402748750332
4,0,1.383368187392032
5,0,0.5713773784696189
0,1,2.0106200122806537
1,1,1.5407477665864875
2,1,0.7424953279323852
3,1,1.4656216941909237
4,1,1.52782358495167
5,1,0.17281096244508223
0,2,2.0000013580414437
1,2,1.679051171483823
2,2,0.6481802627456812
3,2,1.5359749099629016
4,2,1.3655500768732176
5,2,0.37808436837960135
0,3,1.6772664188230528
1,3,1.8083501989819444
2,3,0.7318670832563683
3,3,1.6945052815644734
4,3,1.286470020143429
5,3,0.43030807314764
0,4,1.6633935468252445
1,4,1.5479612148043638
2,4,0.8557326592153525
3,4,1.5454685263650734
4,4,1.312486711494028
5,4,0.3997105164012775
