index,ML_position,calcium_response
0,0,0.7769912515094898
1,0,0.22976037962083198
2,0,1.0843366296349641
3,0,0.2871644828624474
4,0,1.4127840161636722
5,0,0.4178506540394603
6,0,0.9237330443008481
7,0,0.33918697057717295
0,1,0.6462618787478858
1,1,0.3503196210866094
2,1,1.3037896651712524
3,1,0.3399197678476492
4,1,1.425804136333415
5,1,0.6328370809569275
6,1,1.0956031737010774
7,1,0.5425197159685133
0,2,0.7539165726486923
1,2,0.3869483715130207
2,2,1.307112562400765
3,2,0.4766285145495883
4,2,1.337302324169043
5,2,0.5895049076150521
6,2,1.0880438510115147
7,2,0.3957138671729201
0,3,0.6343895124330866
1,3,0.4058620278294058
2,3,1.3956846478499014
3,3,0.7931016673614291
4,3,1.4214132655910494
5,3,0.8009680214417925
6,3,1.1741769939077404
7,3,0.7702433659991403
0,4,0.22736941149824053
1,4,0.5478193591600199
2,4,1.4092677261219257
3,4,0.8525904016027077
4,4,1.5217941970489803
5,4,0.6492717758772759
6,4,1.0755590976388374
7,4,0.6706549579576216
